Parcel ID,LUC ,Prior Year Due,Column 1,Column 2,Column 3
A0600003000025,,230119.28,,,
Q6541004000149,685,111422.8,,,
M5610023000075,499,97123.66,,,
M5820378000001,340,95047.77,,,
A0700006000163,340,79138.12,,,
M5620417000007,454,74475.02,,,
A0700036000049,447,64715.52,,,
P6421003000075,444,63007.25,,,
H4100028000013,330,55647.46,,,
P6431006000038,350,54918.95,,,
P6411131000015,403,54883.33,,,
C1800013000036,350,54194.57,,,
P6441047000020,500,50063.3,,,
P6441047000032,500,40012.09,,,
M5620283000004,350,39431.32,,,
M5620285000003,340,36644.55,,,
P6412111000030,500,36139.85,,,
A0600003000026,499,34584.99,,,
A0700200000026,350,34017.08,,,
P6411034000018,500,32522.9,,,
D2010007000058,499,32436.88,,,
M5620381000004,510,31472.76,,,
A0700100000043,401,30736.16,,,
H4000006000064,419,28887.61,,,
M5670038000025,447,28859.02,,,
Q6511024000085,430,27770.09,,,
H4100019000059,411,24970.01,,,
Q6532023000049,440,24867.67,,,
M5610003000047,400,23776.19,,,
P6431016000029,500,23684.86,,,
P6431023000071,510,23122.37,,,
M5620441000012,430,22953.49,,,
Q6521033000095,500,22740.62,,,
A0700014000128,350,21787.81,,,
Q6542030000258,840,21200.05,,,
D2020318000014,510,20588.49,,,
P6441019000120,500,20210.5,,,
Q6532018000038,500,19691.7,,,
Q6521003000025,500,19513.26,,,
P6600140000002,430,19347.8,,,
L5300001000019,500,19093.35,,,
P6411005000095,500,19025.52,,,
M5610026000018,360,18526.45,,,
Q6542030000119,500,18324.95,,,
D2020211000015,510,18214.59,,,
Q6511036000001,421,18058.74,,,
C1720086000021,452,18041.26,,,
M5620458000002,430,17927.61,,,
P6441039000023,510,17666.59,,,
B1010015000014,111,17474.78,,,
M5620282000008,350,17247.16,,,
D2020331000046,510,16910.02,,,
M5620041000006,360,16620.41,,,
P6441037000115,500,16553.18,,,
M5610023000025,512,16534.51,,,
C1710018000102,429,16373.38,,,
Q6511055000047,510,16273,,,
M5610024000102,499,16132.73,,,
A0700016000118,480,16052.38,,,
P6431030000033,500,16045.33,,,
Q6532019000049,510,15952.12,,,
Q6542031000251,500,15677.92,,,
A0700100000038,401,15653.66,,,
P6462015000083,429,15626.05,,,
P6411006000031,500,15401.47,,,
C1800016100018,499,15263.26,,,
H4100103000078,401,14494.92,,,
M5620334000031,510,14432.18,,,
Q6542115000045,500,14237.59,,,
A0300058000042,500,14206.36,,,
D2020306000029,510,14162.06,,,
P6411131000016,402,14023.45,,,
A0700095000041,510,13985.84,,,
A0700006000195,350,13954.7,,,
M5620368000028,510,13830.02,,,
D2020055000049,510,13736.89,,,
A0300025000088,425,13653.81,,,
